paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year
P00008187,북대서양조약기구(NATO)의 핵공유제와 한반도 확장억제 정책 발전에 대한 함의,박기철,국제지역연구,2022
P00008188,인도-태평양 지역 비핵국가들의 확장억제 연대구상 : 한국과 일본의 핵억제 정책 유사성과 연대 가능성을 중심으로,박영준,국가전략,2023
P00008189,북한의 핵운용전략과 한국의 대북 핵억제전략,박창권,국방정책연구,2014
P00008190,한일 갈등의 심화와 한일안보협력의 미래,박철희,한국국가전략,2019
P00008191,한반도 ‘핵균형(nuclear balance)’과 한일 안보협력,박휘락,한일군사문화연구,2020
P00008192,나토 “핵공유(nuclear sharing)” 체제의 현황과 동북아시아 도입에 관한 시론적 분석,박휘락,국가전략,2021
P00008193,"NATO 핵공유 체제 특성과 미국의 對韓 확장억제 정책에 대한함의: 공약의 신뢰성, 이행 의지 전달 분석을 중심으로",서명환,군사평론,2020
P00008194,미국의 확장억제 강화방안: 북한 전술핵 위협과 한미 통합 핵억제를 중심으로,설인효,국가안보와 전략,2023
P00008195,나토의 핵 공유가 갖는 한국의 전술핵 배치에 대한 함의,안성규,신아세아,2023
P00008196,한·미 연합 군사연습에 대한 북한의 대응 분석: 군사적 위협 변수의 재검토,윤안국,국방정책연구,2018
P00008197,미국 확장억제 정책의 이해,이성규,국방과 기술,2021
P00008198,한국형 핵공유체제 구축 모색: 이론과 실재,이수형,통일정책연구,2023
P00008200,북한 비핵화와 핵우산 강화를 위한 이중경로정책,전성훈,국가전략,2010
P00008201,카터 행정부의 주한미군 철수결정에 대한 한국 정부의 대응에 관한 연구: 카터 대통령 취임부터 10차 한미연례안보회의까지의 과정을 중심으로,조관행,국가전략,2015
P00008202,북한의 핵능력 증가가 미국의 확장억제에 주는 함의와 대처방안,조동준,한국국가전략,2017
P00008203,트럼프 행정부의 신형 3종 저위력 핵무기와 미국의 핵전략 동향,조비연,신아세아,2021
P00008206,한국의 재래식 전력의 한반도 억제태세 기여와 역할: 확장억제 신뢰성 제고를 중심으로,함형필,국가안보와 전략,2022
P00008207,동맹과 핵공유: NATO 사례와 한반도 전술핵 재배치에 대한 시사점,황일도,국가전략,2017
P00008277,한국(韓國)인구정책(人口政策)의 방향(方向)에 관한 연구(硏究),김병진,경희법학,1984
P00008278,중국의 인구정책과 인구특성,김추윤,관광지리학,1994
P00008279,우리나라의 인구조절 대책과 그 문제점,박준익,한국인구학,1978
P00008280,저출산 시대의 인구정책: 평가와 향후 방향,우해봉,한국인구학,2018
P00008281,우리나라 人口政策方向의 再吟味,이규식,한국인구학,1988
